90	58186	29	17362	-47	892	87	15747	15	4632	11	4678	26	9310	0	0	0	3	23	1	36	473	1023	7777
91	58381	40	17402	-69	823	118	15865	8	4640	8	4686	16	9326	0	0	1	3	12	1	36	474	1026	7789
92	58517	25	17427	-5	818	33	15898	14	4654	9	4695	23	9349	0	0	1	2	20	1	36	475	1028	7809
93	58615	26	17453	3	821	14	15912	13	4667	9	4704	22	9371	0	1	1	3	17	1	37	476	1031	7826
94	58685	31	17484	0	821	25	15937	11	4678	10	4714	21	9392	0	0	1	2	18	1	37	477	1033	7844
95	58767	21	17505	-82	739	89	16026	16	4694	7	4721	23	9415	0	0	1	7	15	1	37	478	1040	7859
96	58907	32	17537	-37	702	64	16090	13	4707	7	4728	20	9435	0	0	1	3	16	1	37	479	1043	7875
97	59072	26	17563	-55	647	78	16168	5	4712	9	4737	14	9449	0	0	1	1	12	1	37	480	1044	7887
98	59226	21	17584	-74	573	101	16269	8	4720	4	4741	12	9461	0	0	1	1	10	1	37	481	1045	7897
99	59348	23	17607	3	576	24	16293	8	4728	3	4744	11	9472	0	0	2	1	8	1	37	483	1046	7905
100	59437	16	17623	-1	575	9	16302	10	4738	2	4746	12	9484	0	0	1	2	9	1	37	484	1048	7914
101	59569	24	17647	-48	527	68	16370	8	4746	1	4747	9	9493	0	0	2	4	3	1	37	486	1052	7917
102	59711	19	17666	-43	484	61	16431	8	4754	4	4751	12	9505	0	0	1	4	7	1	37	487	1056	7924
103	59819	32	17698	-5	479	45	16476	7	4761	5	4756	12	9517	0	0	0	1	11	1	37	487	1057	7935
104	59918	23	17721	-54	425	51	16527	6	4767	1	4757	7	9524	0	0	0	2	5	1	37	487	1059	7940
105	60029	12	17733	-30	395	42	16569	4	4771	6	4763	10	9534	0	0	1	3	6	1	37	488	1062	7946
106	60100	17	17750	5	400	21	16590	3	4774	2	4765	5	9539	0	0	0	1	4	1	37	488	1063	7950
107	60155	11	17761	-5	395	15	16605	3	4777	0	4765	3	9542	0	0	0	1	2	1	37	488	1064	7952
108	60244	24	17785	-24	371	57	16662	3	4780	5	4770	8	9550	0	0	0	1	7	1	37	488	1065	7959
109	60348	19	17804	-27	344	40	16702	5	4785	2	4772	7	9557	0	0	0	0	7	1	37	488	1065	7966
110	60476	20	17824	-4	340	27	16729	7	4792	0	4772	7	9564	0	0	1	3	3	1	37	489	1068	7969
111	60550	20	17844	-32	308	42	16771	2	4794	3	4775	5	9569	0	0	1	1	3	1	37	490	1069	7972
112	0	18	17862	-16	292	23	16794	4	4798	0	4775	4	9573	0	0	0	0	4	1	37	490	1069	7976
113	0	10	17872	3	295	12	16806	0	4798	3	4778	3	9576	0	0	0	0	3	1	37	490	1069	7979
114	0	12	17884	-2	293	16	16822	6	4804	3	4781	9	9585	0	1	4	0	4	1	38	494	1069	7983
115	0	12	17896	-12	281	36	16858	10	4814	2	4783	12	9597	0	0	1	2	9	1	38	495	1071	7992
116	0	16	17912	-13	268	32	16890	2	4816	2	4785	4	9601	0	0	0	0	4	1	38	495	1071	7996
117	0	19	17931	-12	256	28	16918	2	4818	1	4786	3	9604	0	0	0	0	3	1	38	495	1071	7999
118	0	18	17949	-9	247	23	16941	4	4822	1	4787	5	9609	0	0	0	0	5	1	38	495	1071	8004
119	0	16	17965	-10	237	29	16970	1	4823	1	4788	2	9611	0	0	0	1	1	1	38	495	1072	8005
120	0	5	17970	0	237	10	16980	5	4828	3	4791	8	9619	0	0	0	1	7	1	38	495	1073	8012
121	0	13	17983	7	244	7	16987	5	4833	0	4791	5	9624	0	0	1	1	3	1	38	496	1074	8015
122	0	17	18000	-22	222	34	17021	2	4835	1	4792	3	9627	0	0	0	2	1	1	38	496	1076	8016
123	0	9	18009	-19	203	23	17044	7	4842	1	4793	8	9635	0	0	1	1	6	1	38	497	1077	8022
124	0	13	18022	-16	187	29	17073	2	4844	0	4793	2	9637	0	0	0	0	2	1	38	497	1077	8024
125	0	5	18027	-19	168	18	17091	5	4849	0	4793	5	9642	0	0	0	1	4	1	38	497	1078	8028
126	0	16	18043	2	170	16	17107	2	4851	0	4793	2	9644	0	0	0	2	0	1	38	497	1080	8028
127	0	6	18049	0	170	9	17116	2	4853	1	4794	3	9647	0	0	0	1	2	1	38	497	1081	8030
128	0	9	18058	-1	169	6	17122	1	4854	1	4795	2	9649	0	0	0	0	2	1	38	497	1081	8032
129	0	15	18073	9	178	16	17138	0	4854	1	4796	1	9650	0	0	0	0	1	1	38	497	1081	8033
130	0	9	18082	-13	165	21	17159	2	4856	1	4797	3	9653	0	0	1	0	2	1	38	498	1081	8035
131	0	10	18092	-5	160	20	17179	1	4857	0	4797	1	9654	0	0	0	0	1	1	38	498	1081	8036
132	0	6	18098	-17	143	17	17196	1	4858	1	4798	2	9656	0	0	0	0	2	1	38	498	1081	8038
133	0	9	18107	-11	132	18	17214	0	4858	0	4798	0	9656	0	0	0	0	0	1	38	498	1081	8038
134	0	7	18114	-2	130	4	17218	2	4860	0	4798	2	9658	0	0	1	0	1	1	38	499	1081	8039
135	0	9	18123	8	138	5	17223	2	4862	2	4800	4	9662	1	0	0	0	3	2	38	499	1081	8042
136	0	18	18141	9	147	19	17242	0	4862	0	4800	0	9662	0	0	0	0	0	2	38	499	1081	8042
137	0	9	18150	3	150	11	17253	2	4864	1	4801	3	9665	0	0	0	0	3	2	38	499	1081	8045
138	0	12	18162	-3	147	16	17269	4	4868	1	4802	5	9670	0	0	2	1	2	2	38	501	1082	8047
139	0	8	18170	-2	145	20	17289	4	4872	1	4803	5	9675	0	0	0	1	4	2	38	501	1083	8051
140	0	23	18193	16	161	18	17307	2	4874	0	4803	2	9677	0	0	0	1	1	2	38	501	1084	8052
141	0	15	18208	7	168	9	17316	2	4876	1	4804	3	9680	0	1	0	1	1	2	39	501	1085	8053
142	0	13	18221	13	181	5	17321	1	4877	0	4804	1	9681	0	0	0	1	0	2	39	501	1086	8053
143	0	5	18226	-9	172	17	17338	2	4879	0	4804	2	9683	1	0	0	1	0	3	39	501	1087	8053
144	0	19	18245	19	191	9	17347	1	4880	0	4804	1	9684	0	0	0	0	1	3	39	501	1087	8054
145	0	24	18269	12	203	22	17369	2	4882	0	4804	2	9686	0	0	0	1	1	3	39	501	1088	8055
146	0	28	18297	15	218	25	17394	2	4884	0	4804	2	9688	0	0	0	0	2	3	39	501	1088	8057
147	0	21	18318	-8	210	32	17426	5	4889	0	4804	5	9693	0	0	0	1	4	3	39	501	1089	8061
148	0	14	18332	1	211	13	17439	1	4890	0	4804	1	9694	0	0	0	0	1	3	39	501	1089	8062
149	0	20	18352	11	222	14	17453	1	4891	1	4805	2	9696	0	0	1	0	1	3	39	502	1089	8063
